dt_id,fscl_period,fscl_week
1/27/2025,202504,20251042
1/29/2025,202504,20251042
1/15/2025,202503,20251034
2/25/2025,202505,20252052
12/26/2024,202503,20251031
3/6/2025,202505,20252053
2/12/2025,202504,20251044
2/3/2025,202504,20251043
1/3/2025,202503,20251032
3/16/2025,202505,20252054
1/5/2025,202503,20251032
1/12/2025,202503,20251033
3/9/2025,202505,20252053
1/6/2025,202503,20251033
2/9/2025,202504,20251043
3/14/2025,202505,20252054
12/24/2024,202503,20251031
12/23/2024,202503,20251031
1/26/2025,202504,20251041
2/23/2025,202505,20252051
1/19/2025,202503,20251034
1/9/2025,202503,20251033
1/23/2025,202504,20251041
3/13/2025,202505,20252054
12/31/2024,202503,20251032
1/4/2025,202503,20251032
2/18/2025,202505,20252051
1/11/2025,202503,20251033
1/25/2025,202504,20251041
2/11/2025,202504,20251044
1/7/2025,202503,20251033
2/7/2025,202504,20251043
3/4/2025,202505,20252053
2/2/2025,202504,20251042
1/20/2025,202504,20251041
1/2/2025,202503,20251032
12/30/2024,202503,20251032
2/27/2025,202505,20252052
3/10/2025,202505,20252054
12/28/2024,202503,20251031
1/22/2025,202504,20251041
2/26/2025,202505,20252052
3/7/2025,202505,20252053
1/17/2025,202503,20251034
12/27/2024,202503,20251031
2/1/2025,202504,20251042
1/1/2025,202503,20251032
3/1/2025,202505,20252052
1/21/2025,202504,20251041
2/22/2025,202505,20252051
3/3/2025,202505,20252053
2/15/2025,202504,20251044
1/13/2025,202503,20251034
1/31/2025,202504,20251042
1/8/2025,202503,20251033
1/14/2025,202503,20251034
2/13/2025,202504,20251044
1/30/2025,202504,20251042
2/4/2025,202504,20251043
1/28/2025,202504,20251042
2/16/2025,202504,20251044
2/17/2025,202505,20252051
12/29/2024,202503,20251031
2/14/2025,202504,20251044
1/18/2025,202503,20251034
2/21/2025,202505,20252051
3/8/2025,202505,20252053
3/2/2025,202505,20252052
2/28/2025,202505,20252052
1/10/2025,202503,20251033
2/8/2025,202504,20251043
1/24/2025,202504,20251041
1/16/2025,202503,20251034
3/15/2025,202505,20252054
3/5/2025,202505,20252053
2/24/2025,202505,20252052
2/5/2025,202504,20251043
2/19/2025,202505,20252051
12/25/2024,202503,20251031
2/10/2025,202504,20251044
2/20/2025,202505,20252051
2/6/2025,202504,20251043
3/11/2025,202505,20252054
3/12/2025,202505,20252054
